order_id,audit_date,week_number,country,state,city,address_type,pid,call_attempt,quality_of_validation,validation_status,defect_category,deepdive_attribute,gam_defect,grok_comment_defect,overall_audit,delivery_outcome,delivery_success,auditor,resolution_time_hrs
ORD11257,2026-03-16,12,US,BC,Philadelphia,Multi-Commercial,USC4992834083,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD13717,2026-03-16,12,US,BC,Edmonton,Multi-Commercial,USC5058652404,Non-Controllable,Deep Dive Defect - Wrong validation,Fail,Multi-Residential,Incorrect SP,No GAM defect,No GROK defect,Fail,Delivered,1,Kiran Nukala,8.8
ORD11834,2026-03-16,12,US,ON,Seattle,Single-Residential,USC4950176006,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD12745,2026-03-16,12,US,BC,Charlotte,Single-Residential,USC5148597634,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD13760,2026-03-16,12,Canada,NY,Philadelphia,Single-Residential,USC5103246930,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14806,2026-03-16,12,US,PA,Chicago,Multi-Residential,USC5211166567,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Riya Singh,0.0
ORD13845,2026-03-16,12,US,ON,New York,Single-Residential,USC4810943407,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD11863,2026-03-16,12,US,FL,Miami,Multi-Residential,USC5209035997,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Harini AB,0.0
ORD10917,2026-03-16,12,Canada,IL,Chicago,Single-Commercial,USC5266771162,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD11884,2026-03-16,12,US,WA,Montreal,Single-Residential,USC4843676279,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD14917,2026-03-16,12,US,NY,Houston,Multi-Residential,USC5117169350,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
